restaurant,item,ms_item,matched_2021,new_item_2022,food_category,item_description,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,dietary_fiber,sugar,protein,bestseller,price
arbys,corned beef reuben,half pound beef ‘n cheddar,0,1,Sandwiches,"Half Pound Beef ‘n Cheddar, Slow Roasted Beef",700,21.0,14.0,0.0,65.0,420,113.0,1.0,99.0,16.0,1,11.99
arbys,chicken tenders 5pc,chicken tenders (3),1,0,Entrees,"Chicken Tenders (3), Crispy Juicy Chicken",240,0.0,0.0,0.0,0.0,20,64.0,0.0,60.0,0.0,1,9.94
arbys,smokehouse brisket,smokehouse brisket,1,0,Sandwiches,"Smokehouse Brisket, Slow Roasted Beef",610,30.0,8.0,0.0,65.0,1400,58.0,4.0,7.0,28.0,0,10.04
arbys,roast turkey ranch & bacon sandwich,"turkey, ranch & bacon sandwich",0,1,Sandwiches,"Turkey, Ranch & Bacon Sandwich, Market Fresh",390,19.0,2.5,0.0,0.0,460,49.0,0.0,0.0,5.0,0,12.49
arbys,half pound beef 'n cheddar,half pound beef ‘n cheddar,0,1,Sandwiches,"Half Pound Beef ‘n Cheddar, Slow Roasted Beef",700,21.0,14.0,0.0,65.0,420,113.0,1.0,99.0,16.0,0,10.34
arbys,bacon ranch wagyu steakhouse burger,"turkey, ranch & bacon sandwich",0,1,Sandwiches,"Turkey, Ranch & Bacon Sandwich, Market Fresh",390,19.0,2.5,0.0,0.0,460,49.0,0.0,0.0,5.0,0,10.59
arbys,orange cream shake,"fanta orange, 18 oz",0,1,Beverages,"Fanta Orange, 18 oz, Beverages",180,0.0,0.0,0.0,0.0,55,47.0,0.0,47.0,0.0,1,3.59
arbys,buffalo chicken slider,buffalo chicken slider,1,0,Sandwiches,"Buffalo Chicken Slider, Sliders, Kids Meals",360,14.0,5.0,0.5,50.0,970,37.0,2.0,5.0,23.0,0,1.99
arbys,chicken slider,chicken slider,1,0,Sandwiches,"Chicken Slider, Sliders",370,18.0,3.0,0.0,60.0,1190,28.0,2.0,0.0,23.0,0,1.99
arbys,jalapeño roast beef slider,jalapeño roast beef slider,0,1,Sandwiches,"Jalapeño Roast Beef Slider, Sliders",250,0.0,0.0,0.0,0.0,60,62.0,0.0,62.0,0.0,0,1.99
arbys,roast beef slider,roast beef slider,1,0,Sandwiches,"Roast Beef Slider, Sliders",610,30.0,4.5,0.0,100.0,1990,47.0,3.0,0.0,39.0,0,1.99
arbys,curly fries,curly fries – kids,1,0,Fried Potatoes,"Curly Fries – Kids, Kids Meals",610,30.0,12.0,2.0,130.0,2040,38.0,2.0,5.0,48.0,1,2.59
arbys,crinkle fries,crinkle fries – kids,0,1,Fried Potatoes,"Crinkle Fries – Kids, Kids Meals",0,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,1,2.59
arbys,premium 4pc chicken nuggets,premium nuggets (9),0,1,Entrees,"Premium Nuggets (9), Crispy Juicy Chicken",390,13.0,6.0,0.0,0.0,200,65.0,2.0,40.0,4.0,0,2.99
arbys,premium 6pc chicken nuggets,premium nuggets (9),0,1,Entrees,"Premium Nuggets (9), Crispy Juicy Chicken",390,13.0,6.0,0.0,0.0,200,65.0,2.0,40.0,4.0,0,3.99
arbys,mozzarella sticks,mozzarella sticks – (4),1,0,Appetizers & Sides,"Mozzarella Sticks – (4), Sides & Snacks",150,0.0,0.0,0.0,0.0,10,38.0,0.0,36.0,0.0,1,4.19
arbys,reese’s peanut butter cup cookie,reese’s peanut butter cup cookie,0,1,Desserts,"Reese’s Peanut Butter Cup Cookie, Desserts",270,11.0,2.5,0.0,25.0,700,30.0,1.0,1.0,13.0,0,2.29
arbys,salted caramel & chocolate cookie,salted caramel & chocolate cookie,1,0,Desserts,"Salted Caramel & Chocolate Cookie, Desserts",740,39.0,14.0,2.0,130.0,2530,48.0,2.0,9.0,49.0,0,2.29
arbys,apple turnover,apple turnover,1,0,Baked Goods,"Apple Turnover, Desserts",110,0.0,0.0,0.0,0.0,10,29.0,0.0,27.0,0.0,0,2.29
arbys,cherry turnover,cherry turnover,1,0,Baked Goods,"Cherry Turnover, Desserts",150,0.0,0.0,0.0,0.0,10,38.0,0.0,36.0,0.0,0,2.29
arbys,coca-cola,"coca-cola, 13oz",1,0,Beverages,"Coca-Cola, 13oz, Beverages",60,5.0,1.0,0.0,5.0,150,3.0,0.0,2.0,0.0,1,2.49
arbys,diet coke,"diet coke, 13oz",1,0,Beverages,"Diet Coke, 13oz, Beverages",100,10.0,2.0,0.0,15.0,135,1.0,0.0,1.0,1.0,0,2.49
arbys,coca-cola zero sugar,"coca-cola zero sugar, 13oz",1,0,Beverages,"Coca-Cola Zero Sugar, 13oz, Beverages",470,23.0,7.0,0.0,75.0,1360,28.0,2.0,2.0,38.0,1,2.49
arbys,sprite,"sprite, 13oz",1,0,Beverages,"Sprite, 13oz, Beverages",610,30.0,9.0,0.0,80.0,1580,51.0,4.0,9.0,35.0,0,2.49
arbys,dr pepper,"dr pepper, 13oz",1,0,Beverages,"Dr Pepper, 13oz, Beverages",200,0.0,0.0,0.0,0.0,10,51.0,0.0,48.0,0.0,0,2.49
arbys,diet dr pepper,"diet dr pepper, 13oz",0,1,Beverages,"Diet Dr Pepper, 13oz, Beverages",160,0.0,0.0,0.0,0.0,50,42.0,0.0,42.0,0.0,0,2.49
arbys,barq's root beer,"barq’s root beer, 13oz",1,0,Beverages,"Barq’s Root Beer, 13oz, Beverages",500,23.0,5.0,0.0,55.0,1960,48.0,4.0,7.0,24.0,0,2.49
arbys,minute maid zero sugar,"coca-cola zero sugar, 13oz",1,0,Beverages,"Coca-Cola Zero Sugar, 13oz, Beverages",470,23.0,7.0,0.0,75.0,1360,28.0,2.0,2.0,38.0,1,2.49
arbys,hi-c flashin' fruit punch,"hi-c flashin’ fruit punch, 13oz",1,0,Beverages,"Hi-C Flashin’ Fruit Punch, 13oz, Beverages",560,29.0,11.0,1.0,95.0,1140,42.0,3.0,3.0,36.0,0,2.49
arbys,mello yello,"mello yello, 13oz",1,0,Beverages,"Mello Yello, 13oz, Beverages",530,21.0,10.0,1.0,85.0,2540,50.0,2.0,3.0,34.0,0,2.49
arbys,fanta orange,"fanta orange, 13oz",0,1,Beverages,"Fanta Orange, 13oz, Beverages",10,0.0,0.0,0.0,0.0,65,3.0,0.0,0.0,0.0,0,2.49
arbys,bottled water,nestle pure life bottled water,0,1,Beverages,"Nestle Pure Life Bottled Water, Beverages",5,0.0,0.0,0.0,0.0,0+,1.0,0.0,0.0,0.0,0,2.49
arbys,market fresh classic lemonade,market fresh classic lemonade - small,0,1,Beverages,"Market Fresh Classic Lemonade - Small, Limited Time Offers",700,44.0,13.0,0.0,75.0,1370,55.0,4.0,6.0,23.0,0,2.89
arbys,market fresh strawberry lemonade,market fresh strawberry lemonade - small,0,1,Beverages,"Market Fresh Strawberry Lemonade - Small, Limited Time Offers",540,16.0,10.0,0.0,50.0,320,88.0,1.0,74.0,12.0,0,2.89
arbys,market fresh peach lemonade,market fresh peach lemonade - small,0,1,Beverages,"Market Fresh Peach Lemonade - Small, Limited Time Offers",660,34.0,9.0,0.5,85.0,1970,47.0,3.0,12.0,43.0,0,2.89
arbys,premium 4pc chicken nuggets kids,premium nuggets (9),0,1,Entrees,"Premium Nuggets (9), Crispy Juicy Chicken",390,13.0,6.0,0.0,0.0,200,65.0,2.0,40.0,4.0,0,5.29
arbys,honest kids organic apple juice drink,honest kids apple juice drink,0,1,Beverages,"Honest Kids Apple Juice Drink, Kids Meals, Beverages",240,0.0,0.0,0.0,0.0,60,61.0,0.0,61.0,0.0,0,1.99
arbys,shamrock farms low fat milk,shamrock farms lowfat white milk,1,0,Beverages,"Shamrock Farms Lowfat White Milk, Kids Meals, Beverages",310,0.0,0.0,0.0,0.0,20,81.0,0.0,77.0,0.0,0,1.99
arbys,shamrock farms lowfat chocolate milk,shamrock farms lowfat chocolate milk,1,0,Beverages,"Shamrock Farms Lowfat Chocolate Milk, Kids Meals, Beverages",150,0.0,0.0,0.0,0.0,10,38.0,0.0,35.0,0.0,0,1.99
arbys,tree top applesauce,tree top applesauce,1,0,Appetizers & Sides,"Tree Top Applesauce, Kids Meals",630,32.0,11.0,1.5,100.0,2100,48.0,2.0,9.0,39.0,0,1.99
arbys,chicken slider kids,chicken slider,1,0,Sandwiches,"Chicken Slider, Sliders",370,18.0,3.0,0.0,60.0,1190,28.0,2.0,0.0,23.0,0,5.29
arbys,roast beef slider kids,roast beef slider,1,0,Sandwiches,"Roast Beef Slider, Sliders",610,30.0,4.5,0.0,100.0,1990,47.0,3.0,0.0,39.0,0,5.29
arbys,premium 6pc chicken nuggets kids,premium nuggets (9),0,1,Entrees,"Premium Nuggets (9), Crispy Juicy Chicken",390,13.0,6.0,0.0,0.0,200,65.0,2.0,40.0,4.0,0,6.29
burger_king,whopper,whopper,1,0,Burgers,"Whopper, Flame Grilled Burgers",660,40.0,12.0,1.0,90.0,980,49.0,2.0,11.0,28.0,1,4.19
burger_king,whopper –,triple whopper w/ cheese,1,0,Burgers,"Triple Whopper w/ Cheese, Flame Grilled Burgers",1300,89.0,36.0,1.5,300.0,1830,52.0,2.0,12.0,76.0,1,6.49
burger_king,double whopper,double whopper,0,1,Burgers,"Double Whopper, Flame Grilled Burgers",900,58.0,20.0,1.0,175.0,1050,49.0,2.0,11.0,48.0,1,5.29
burger_king,double whopper –,double whopper,0,1,Burgers,"Double Whopper, Flame Grilled Burgers",900,58.0,20.0,1.0,175.0,1050,49.0,2.0,11.0,48.0,1,7.59
burger_king,triple whopper –,triple whopper w/ cheese,1,0,Burgers,"Triple Whopper w/ Cheese, Flame Grilled Burgers",1300,89.0,36.0,1.5,300.0,1830,52.0,2.0,12.0,76.0,1,
burger_king,triple whopper,triple whopper w/ cheese,1,0,Burgers,"Triple Whopper w/ Cheese, Flame Grilled Burgers",1300,89.0,36.0,1.5,300.0,1830,52.0,2.0,12.0,76.0,1,
burger_king,whopper jr.,whopper jr.,1,0,Burgers,"Whopper Jr., Flame Grilled Burgers",310,18.0,5.0,0.0,40.0,390,27.0,1.0,7.0,13.0,1,2.19
burger_king,impossible whopper,impossible whopper,1,0,Burgers,"Impossible Whopper, Flame Grilled Burgers",630,34.0,11.0,0.0,20.0,1080,58.0,4.0,12.0,25.0,1,7.29
burger_king,crispy chicken sandwich,crispy chicken sandwich,1,0,Sandwiches,"Crispy Chicken Sandwich, Chicken & Fish",670,41.0,7.0,0.0,60.0,1070,54.0,2.0,7.0,23.0,0,4.99
burger_king,crispy chicken sandwich –,crispy chicken sandwich,1,0,Sandwiches,"Crispy Chicken Sandwich, Chicken & Fish",670,41.0,7.0,0.0,60.0,1070,54.0,2.0,7.0,23.0,0,7.49
burger_king,spicy crispy chicken sandwich –,spicy crispy chicken sandwich,1,0,Sandwiches,"Spicy Crispy Chicken Sandwich, Chicken & Fish",700,42.0,7.0,0.0,65.0,1140,57.0,3.0,8.0,25.0,0,9.19
burger_king,spicy crispy chicken sandwich,spicy crispy chicken sandwich,1,0,Sandwiches,"Spicy Crispy Chicken Sandwich, Chicken & Fish",700,42.0,7.0,0.0,65.0,1140,57.0,3.0,8.0,25.0,0,5.69
burger_king,big fish sandwich,big fish sandwich,1,0,Sandwiches,"Big Fish Sandwich, Chicken & Fish",510,28.0,4.5,0.0,30.0,1180,51.0,2.0,7.0,16.0,0,3.99
burger_king,big fish sandwich –,big fish sandwich,1,0,Sandwiches,"Big Fish Sandwich, Chicken & Fish",510,28.0,4.5,0.0,30.0,1180,51.0,2.0,7.0,16.0,0,6.39
burger_king,chicken nuggets –,"chicken nuggets, 8 piece",0,1,Entrees,"Chicken Nuggets, 8 Piece, Chicken & Fish",340,22.0,3.5,0.0,45.0,630,21.0,1.0,0.0,16.0,1,4.99
burger_king,spicy chicken nuggets,"spicy nuggets, 4 piece",1,0,Entrees,"Spicy Nuggets, 4 Piece, Chicken & Fish",210,15.0,3.0,0.0,20.0,570,11.0,2.0,0.0,8.0,1,1.69
burger_king,chicken fries,"chicken fries, 9 piece",1,0,Entrees,"Chicken Fries, 9 Piece, Chicken & Fish",430,32.0,143.0,0.0,45.0,930,21.0,1.0,2.0,14.0,0,6.79
burger_king,bacon cheeseburger,bacon cheeseburger,1,0,Burgers,"Bacon Cheeseburger, Flame Grilled Burgers",320,16.0,7.0,0.0,55.0,710,27.0,,7.0,17.0,1,1.49
burger_king,bacon double cheeseburger,bacon double cheeseburger,1,0,Burgers,"Bacon Double Cheeseburger, Flame Grilled Burgers",400,22.0,11.0,0.0,85.0,670,27.0,,7.0,24.0,1,2.29
burger_king,bacon cheeseburger deluxe,bacon cheeseburger,1,0,Burgers,"Bacon Cheeseburger, Flame Grilled Burgers",320,16.0,7.0,0.0,55.0,710,27.0,,7.0,17.0,1,1.69
burger_king,double cheeseburger,double cheeseburger,1,0,Burgers,"Double Cheeseburger, Flame Grilled Burgers",390,21.0,9.0,0.0,85.0,590,27.0,,7.0,23.0,1,1.69
burger_king,french fries,"classic fries, medium",1,0,Fried Potatoes,"Classic Fries, Medium, Sides",380,17.0,3.0,0.0,0.0,570,53.0,4.0,0.0,5.0,1,1.39
burger_king,onion rings,"onion rings, medium",1,0,Appetizers & Sides,"Onion Rings, Medium, Sides",560,36.0,6.0,0.0,20.0,1320,56.0,0.0,5.0,4.0,0,1.94
burger_king,hamburger,hamburger,1,0,Burgers,"Hamburger, Flame Grilled Burgers",240,10.0,3.5,0.0,35.0,380,26.0,,6.0,13.0,1,1.0
burger_king,cheeseburger,cheeseburger,1,0,Burgers,"Cheeseburger, Flame Grilled Burgers",280,13.0,6.0,0.0,45.0,560,27.0,,7.0,15.0,1,1.0
burger_king,crispy chicken jr.,spicy crispy chicken jr. sandwich,1,0,Sandwiches,"Spicy Crispy Chicken Jr. Sandwich, Chicken & Fish",390,21.0,3.5,0.0,30.0,740,37.0,2.0,6.0,12.0,0,1.0
burger_king,spicy crispy chicken jr.,spicy crispy chicken jr. sandwich,1,0,Sandwiches,"Spicy Crispy Chicken Jr. Sandwich, Chicken & Fish",390,21.0,3.5,0.0,30.0,740,37.0,2.0,6.0,12.0,0,1.0
burger_king,rodeo crispy chicken,crispy chicken sandwich,1,0,Sandwiches,"Crispy Chicken Sandwich, Chicken & Fish",670,41.0,7.0,0.0,60.0,1070,54.0,2.0,7.0,23.0,0,1.0
burger_king,rodeo burger,rodeo burger,0,1,Burgers,"Rodeo Burger, Flame Grilled Burgers",330,14.0,4.5,0.0,35.0,530,38.0,2.0,9.0,13.0,0,1.0
burger_king,chicken nuggets,"chicken nuggets, 8 piece",0,1,Entrees,"Chicken Nuggets, 8 Piece, Chicken & Fish",340,22.0,3.5,0.0,45.0,630,21.0,1.0,0.0,16.0,1,1.19
burger_king,soft serve (cup or cone),"soft serve, cup",1,0,Desserts,"Soft Serve, Cup, Sweets",170,4.5,3.0,0.0,20.0,150,28.0,0.0,24.0,5.0,0,1.0
burger_king,apple pie,hershey's sundae pie,1,0,Desserts,"Hershey's Sundae Pie, Sweets",310,19.0,12.0,0.0,10.0,220,32.0,1.0,22.0,3.0,0,1.49
burger_king,hershey’s sundae pie,hershey's sundae pie,1,0,Desserts,"Hershey's Sundae Pie, Sweets",310,19.0,12.0,0.0,10.0,220,32.0,1.0,22.0,3.0,0,1.69
burger_king,jalepeno cheddar bites,"jalapeno cheddar bites, 4 piece",0,1,Appetizers & Sides,"Jalapeno Cheddar Bites, 4 Piece, Sides",160,9.0,3.5,0.0,10.0,450,17.0,1.0,,4.0,0,1.09
burger_king,crispy chicken garden salad,crispy chicken garden salad,0,1,Salads,"Crispy Chicken Garden Salad, Salads & Veggies",870,71.0,14.0,0.0,100.0,1610,35.0,3.0,7.0,27.0,0,7.09
burger_king,crispy chicken club salad,crispy chicken garden salad,0,1,Salads,"Crispy Chicken Garden Salad, Salads & Veggies",870,71.0,14.0,0.0,100.0,1610,35.0,3.0,7.0,27.0,0,7.09
burger_king,garden grilled chicken salad,crispy chicken garden salad,0,1,Salads,"Crispy Chicken Garden Salad, Salads & Veggies",870,71.0,14.0,0.0,100.0,1610,35.0,3.0,7.0,27.0,0,5.59
burger_king,side salad (garden),side garden salad,0,1,Salads,"Side Garden Salad, Salads & Veggies",320,32.0,6.0,0.0,20.0,340,5.0,1.0,4.0,5.0,0,1.99
burger_king,sundae (caramel or chocolate fudge),chocolate fudge sundae,0,1,Desserts,"Chocolate Fudge Sundae, Sweets",270,7.0,5.0,0.0,20.0,220,47.0,,41.0,6.0,0,1.59
burger_king,soft serve (cone or cup),"soft serve, cone",1,0,Desserts,"Soft Serve, Cone, Sweets",140,4.0,3.0,0.0,15.0,100,24.0,0.0,17.0,3.0,0,1.0
burger_king,french toast sticks,"breakfast sides, french toast sticks, 3",1,0,Appetizers & Sides,"Breakfast Sides, French Toast Sticks, 3, Breakfast",230,11.0,2.0,0.0,0.0,260,29.0,2.0,8.0,3.0,0,1.495
burger_king,smooth roast coffee,"iced coffee plain, small",0,1,Beverages,"Iced Coffee Plain, Small, Drinks & Coffee",150,8.0,4.0,0.0,25.0,30,21.0,0.0,21.0,1.0,0,1.46
burger_king,smooth roast iced coffee (plain or vanilla),"iced coffee plain, small",0,1,Beverages,"Iced Coffee Plain, Small, Drinks & Coffee",150,8.0,4.0,0.0,25.0,30,21.0,0.0,21.0,1.0,0,2.39
burger_king,iced tea (sweet or unsweetened),value sweetened iced tea,0,1,Beverages,"Value Sweetened Iced Tea, Drinks & Coffee",100,0.0,0.0,0.0,0.0,0,19.0,0.0,25.0,0.0,0,2.09
burger_king,orange juice,simply orange juice,0,1,Beverages,"Simply Orange Juice, Drinks & Coffee",140,0.0,0.0,0.0,0.0,20,33.0,0.0,30.0,2.0,0,1.69
burger_king,apple juice,capri sun apple juice,1,0,Beverages,"Capri Sun Apple Juice, Drinks & Coffee",80,0.0,0.0,0.0,0.0,25,20.0,0.0,20.0,0.0,0,1.29
burger_king,bottled water,bottled nestle pure life purified water,0,1,Beverages,"Bottled Nestle Pure Life Purified Water, Drinks & Coffee",0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0,1.09
burger_king,double cheeseburger –,double cheeseburger,1,0,Burgers,"Double Cheeseburger, Flame Grilled Burgers",390,21.0,9.0,0.0,85.0,590,27.0,,7.0,23.0,1,4.99
chick-fil-a,chick-fil-a chicken sandwich,chick-fil-a chicken sandwich,1,0,Sandwiches,"Chick-fil-A Chicken Sandwich, Entrees",440,17.0,4.0,0.0,70.0,1400,41.0,1.0,6.0,29.0,1,3.05
chick-fil-a,spicy chicken sandwich,spicy chicken sandwich,1,0,Sandwiches,"Spicy Chicken Sandwich, Entrees",460,19.0,4.0,0.0,65.0,1670,45.0,2.0,6.0,28.0,1,3.29
chick-fil-a,spicy chicken sandwich – combo,spicy chicken sandwich,1,0,Sandwiches,"Spicy Chicken Sandwich, Entrees",460,19.0,4.0,0.0,65.0,1670,45.0,2.0,6.0,28.0,1,6.19
chick-fil-a,spicy chicken deluxe sandwich,spicy chicken sandwich,1,0,Sandwiches,"Spicy Chicken Sandwich, Entrees",460,19.0,4.0,0.0,65.0,1670,45.0,2.0,6.0,28.0,1,3.89
chick-fil-a,spicy chicken deluxe sandwich – combo,spicy chicken sandwich,1,0,Sandwiches,"Spicy Chicken Sandwich, Entrees",460,19.0,4.0,0.0,65.0,1670,45.0,2.0,6.0,28.0,1,6.79
chick-fil-a,chick-fil-a nuggets,"chick-fil-a nuggets, 8ct",1,0,Entrees,"Chick-fil-A Nuggets, 8ct, Entrees",250,11.0,2.5,0.0,85.0,1210,11.0,0.0,1.0,27.0,0,3.05
chick-fil-a,chick-n-strips – combo,2ct chick-n-strips kid's meal,0,1,Entrees,"2ct Chick-n-Strips Kid's Meal, Kid's Meal Sides, Prize, Beverage, Kid's Meals",200,9.0,2.0,0.0,50.0,580,11.0,0.0,1.0,19.0,1,6.75
chick-fil-a,grilled chicken sandwich,grilled chicken sandwich,1,0,Sandwiches,"Grilled Chicken Sandwich, Entrees",380,12.0,2.0,0.0,75.0,760,43.0,3.0,11.0,28.0,1,4.39
chick-fil-a,chicken salad sandwich,spicy chicken sandwich,1,0,Sandwiches,"Spicy Chicken Sandwich, Entrees",460,19.0,4.0,0.0,65.0,1670,45.0,2.0,6.0,28.0,1,3.99
chick-fil-a,chicken salad sandwich – combo,spicy chicken sandwich,1,0,Sandwiches,"Spicy Chicken Sandwich, Entrees",460,19.0,4.0,0.0,65.0,1670,45.0,2.0,6.0,28.0,1,6.79
chick-fil-a,grilled chicken cool wrap,chick-fil-a cool wrap,1,0,Sandwiches,"Chick-fil-A Cool Wrap, Entrees",660,45.0,9.0,0.0,110.0,1420,32.0,14.0,5.0,43.0,1,5.19
chick-fil-a,grilled chicken cool wrap – combo,chick-fil-a cool wrap,1,0,Sandwiches,"Chick-fil-A Cool Wrap, Entrees",660,45.0,9.0,0.0,110.0,1420,32.0,14.0,5.0,43.0,1,8.15
chick-fil-a,soup & salad (large chicken soup and side salad),side salad,1,0,Salads,"Side Salad, Sides",470,42.0,8.0,0.0,35.0,690,16.0,4.0,5.0,7.0,0,8.35
chick-fil-a,chilled grilled chicken sub sandwich (limited time),"chilled grilled chicken sub sandwich tray, small",1,0,Sandwiches,"Chilled Grilled Chicken Sub Sandwich Tray, Small, Trays",220,6.0,2.5,0.0,50.0,450,24.0,0.0,5.0,18.0,0,4.79
chick-fil-a,substitute medium premium side,"kale crunch side tray, small",1,0,Appetizers & Sides,"Kale Crunch Side Tray, Small, Trays",570,37.0,6.0,0.0,0.0,1120,56.0,12.0,30.0,11.0,0,1.0
chick-fil-a,upsize fries & drink,"mac & cheese tray, small",1,0,Appetizers & Sides,"Mac & Cheese Tray, Small, Trays",4920,312.0,178.0,3.5,750.0,13020,308.0,31.0,36.0,221.0,1,0.46
chick-fil-a,waffle potato fries,"chick-fil-a waffle potato fries, small",0,1,Fried Potatoes,"Chick-fil-A Waffle Potato Fries, Small, Sides",320,19.0,3.0,0.0,0.0,190,35.0,4.0,1.0,4.0,0,1.55
chick-fil-a,fruit cup,"fruit cup, small",1,0,Appetizers & Sides,"Fruit Cup, Small, Breakfast",50,0.0,0.0,0.0,0.0,0,13.0,2.0,9.0,1.0,1,3.016666666666667
chick-fil-a,side salad,side salad,1,0,Salads,"Side Salad, Sides",470,42.0,8.0,0.0,35.0,690,16.0,4.0,5.0,7.0,0,2.89
chick-fil-a,chicken soup,"chicken noodle soup, cup",1,0,Soup,"Chicken Noodle Soup, Cup, Sides",170,4.0,1.0,0.0,30.0,1220,25.0,1.0,1.0,10.0,0,3.5
chick-fil-a,chicken tortilla soup (limited time),"chicken tortilla soup, cup",0,1,Soup,"Chicken Tortilla Soup, Cup, Sides",340,10.0,3.0,0.0,45.0,1050,38.0,17.0,4.0,23.0,0,4.9
chick-fil-a,superfood salad (limited time),cobb salad w/ no chicken,1,0,Salads,"Cobb Salad w/ No Chicken, Salads",600,49.0,11.0,0.0,155.0,1010,23.0,5.0,9.0,16.0,1,3.39
chick-fil-a,chicken salad cup,cobb salad w/ no chicken,1,0,Salads,"Cobb Salad w/ No Chicken, Salads",600,49.0,11.0,0.0,155.0,1010,23.0,5.0,9.0,16.0,1,4.17
chick-fil-a,grilled nuggets,"grilled nuggets, 8ct",1,0,Entrees,"Grilled Nuggets, 8ct, Entrees",130,3.0,0.5,0.0,85.0,440,1.0,0.0,1.0,25.0,0,3.75
chick-fil-a,cobb salad,cobb salad w/ nuggets,1,0,Salads,"Cobb Salad w/ Nuggets, Salads",850,61.0,13.0,0.0,235.0,2220,34.0,5.0,9.0,42.0,1,7.19
chick-fil-a,grilled market salad,grilled market salad w/ nuggets,1,0,Salads,"Grilled Market Salad w/ Nuggets, Salads",690,40.0,8.0,0.0,90.0,1860,51.0,5.0,27.0,34.0,1,7.19
chick-fil-a,grilled market salad w/ no chicken,grilled market salad w/ no chicken,1,0,Salads,"Grilled Market Salad w/ No Chicken, Salads",440,29.0,5.5,0.0,10.0,650,40.0,5.0,26.0,7.0,1,6.19
chick-fil-a,grilled market salad w/ chick-fil-a filet,grilled market salad w/ chick-fil-a filet,1,0,Salads,"Grilled Market Salad w/ Chick-fil-A Filet, Salads",690,41.0,8.0,0.0,80.0,1770,53.0,5.0,27.0,31.0,1,8.19
chick-fil-a,grilled market salad w/ chick-n-strips,grilled market salad w/ chick-fil-a chick-n-strips,1,0,Salads,"Grilled Market Salad w/ Chick-fil-A Chick-n-Strips, Salads",750,43.0,8.0,0.0,85.0,1520,57.0,5.0,27.0,36.0,1,8.19
