item,restaurant,price_usd
Apple Caramel Petite Treat,99 Restaurant,2.59
IBC Root Beer,99 Restaurant,3.29
IBC Diet Root Bee,99 Restaurant,3.29
Aquafina Bottled Water,99 Restaurant,2.29
Diet Pepsi Bottle,99 Restaurant,2.29
Pepsi Bottle,99 Restaurant,2.29
Pure Leaf Iced Tea,99 Restaurant,2.59
Papa Burger,A&W,6.99
Original Bacon Double Cheeseburger,A&W,6.99
Grilled or Crispy Chicken,A&W,6.99
Coney Dog,A&W,5.49
Original Bacon Cheeseburger,A&W,6.39
Cheeseburger,A&W,5.39
Cheese Curds,A&W,3.29
Cheese Curds,A&W,5.08
Chili Cheese Fries,A&W,2.99
Chili Cheese Fries,A&W,3.78
Fries,A&W,1.89
Draft A&W Root Beer,A&W,1.79
Draft A&W Root Beer,A&W,1.99
Draft A&W Root Beer,A&W,2.19
Float,A&W,2.89
Float,A&W,2.99
Float,A&W,3.29
Freeze,A&W,2.89
Freeze,A&W,2.99
Freeze,A&W,3.29
"Chocolate, Strawberry, or Vanilla",A&W,3.59
Polar Swirl,A&W,2.99
Sundae,A&W,2.89
Soft Serve Cone,A&W,1.29
Float it,A&W,1.50
Shake it,A&W,2.00
Freeze it,A&W,2.00
Cheeseburger,A&W,3.99
Hamburger,A&W,3.99
Hot Dog,A&W,3.99
Corn Dog Nuggets,A&W,3.99
Chicken Strips,A&W,3.99
Soft Drink,A&W,1.89
Soft Drink,A&W,1.99
Soft Drink,A&W,2.19
Tea,A&W,2.79
A&W Root Beer,A&W,2.99
"
Chile con Queso
",Abuelo's,8.79
"
Queso Diablo
",Abuelo's,9.29
"
Abuelo’s Dip Sampler
",Abuelo's,11.19
"
Guacamole
",Abuelo's,"Small – 9.39
Large – 11.19"
"
Bacon Wrapped Stuffed Shrimp
",Abuelo's,10.19
"
Green Chile Quesadilla
",Abuelo's,9.89
"
Fajita Nachos
",Abuelo's,16.29
"
Grilled Chicken Salad
",Abuelo's,14.79
"
Reynosa Salad
",Abuelo's,12.29
"
Fajita Salad
",Abuelo's,14.49
"
Tortilla Soup
",Abuelo's,7.49
"
Steak Fajitas
",Abuelo's,20.89
"
Chicken Fajitas
",Abuelo's,18.79
"
Vegetable Fajitas
",Abuelo's,16.29
"
Fajita Combo for 1
",Abuelo's,20.79
"
Fajita Trio
",Abuelo's,25.39
"
Los Mejores de la Casa
",Abuelo's,27.59
"
Rib Eye & Enchiladas
",Abuelo's,24.89
"
Pork Tenderloin Abrigada
",Abuelo's,20.09
"
Pechuga con Calabaza
",Abuelo's,18.89
"
Australian Sea Bass
",Abuelo's,20.09
"
Tilapia
",Abuelo's,16.79
"
Enchiladas
",Abuelo's,"2 – 12.79
3 – 14.69
4 – 16.79"
"
Chile Rellenos
",Abuelo's,18.39
"
The Grande
",Abuelo's,22.19
"
Laredo
",Abuelo's,15.79
"
Juarez
",Abuelo's,18.09
"
Mi Abuelo’s Manjar
",Abuelo's,17.29
"
Steak Quesadilla
",Abuelo's,15.69
"
Chicken Quesadilla
",Abuelo's,14.69
"
Durango Burrito
",Abuelo's,13.39
"
Fajita Steak Chimichanga
",Abuelo's,18.39
"
Fajita Chicken Chimichanga
",Abuelo's,16.99
"
Fajita Steak Tacos
",Abuelo's,15.69
"
Fajita Chicken Tacos
",Abuelo's,14.69
"
Papas con Chile
",Abuelo's,2.89
"
Refried Beans
",Abuelo's,2.69
"
Charro Beans
",Abuelo's,2.89
"
Mexican Rice
",Abuelo's,2.89
"
Guacamole
",Abuelo's,3.09
"
Flour Tortillas
",Abuelo's,12 – 2.99
"
12 Corn Tortillas
",Abuelo's,2.99
"
Shredded Cheese
",Abuelo's,0.75
"
Sour Cream
",Abuelo's,0.59
"
Salsa Roja
",Abuelo's,1/2 Pint – 1.50
"
Salsa Tropical
",Abuelo's,1/2 Pint – 1.50
"
Chile Con Queso
",Abuelo's,"Pint – 10.79
Quart – 20.55"
"
Guacamole
",Abuelo's,"Pint – 14.09
Quart – 24.89"
"
Salsa Roja
",Abuelo's,"Pint – 3.15
Quart – 5.25"
"
Chips
",Abuelo's,1.99
"
Kid’s Quesadilla
",Abuelo's,7.39
"
Kid’s Bean & Cheese Burrito
",Abuelo's,7.39
"
Kid’s Soft Taco
",Abuelo's,7.39
"
Kid’s Crispy Taco
",Abuelo's,7.39
"
Kid’s Chicken Nuggets
",Abuelo's,7.39
"
Kid’s Grilled Chicken
",Abuelo's,7.39
"
Kid’s Enchilada-Queso
",Abuelo's,7.39
"
Kid’s Enchilada-Carne Sauce
",Abuelo's,7.39
"
Kid’s Nachos
",Abuelo's,
"
Kid’s Tamale
",Abuelo's,7.39
"
Traditional Flan
",Abuelo's,7.49
"
Dulce De Leche Cheesecake
",Abuelo's,7.49
"
Tres Leches Cake
",Abuelo's,7.49
"
Holiday Capirotada
",Abuelo's,6.35
"
Iced Tea
",Abuelo's,Gallon – 8.29
"
Sweet Iced Tea
",Abuelo's,Gallon – 8.29
"
Lemonade
",Abuelo's,Gallon – 8.29
"
Premium Margarita Mix
",Abuelo's,8.95
"
Coke – ToGo
",Abuelo's,1.99
"
Diet Coke – ToGo
",Abuelo's,1.99
"
Sprite – ToGo
",Abuelo's,1.99
"
Dr Pepper – ToGo
",Abuelo's,1.99
"
Unsweet Tea – ToGo
",Abuelo's,1.99
"
Sweet Tea – ToGo
",Abuelo's,1.99
ndy’s Custom Concrete (Small),Andy's Frozen Custard,3.89
Andy’s Custom Concrete (Medium),Andy's Frozen Custard,4.79
Andy’s Custom Concrete (Large),Andy's Frozen Custard,5.69
Butter Pecan Concrete (Small),Andy's Frozen Custard,4.84
Butter Pecan Concrete (Medium),Andy's Frozen Custard,5.74
Butter Pecan Concrete (Large),Andy's Frozen Custard,6.64
Triple Chocolate Concrete (Small),Andy's Frozen Custard,4.64
Triple Chocolate Concrete (Medium),Andy's Frozen Custard,5.54
Triple Chocolate Concrete (Large),Andy's Frozen Custard,6.44
Snowmonster Concrete (Small),Andy's Frozen Custard,4.64
Snowmonster Concrete (Medium),Andy's Frozen Custard,5.54
Snowmonster Concrete (Large),Andy's Frozen Custard,6.44
Mint Chip Concrete (Small),Andy's Frozen Custard,4.64
Mint Chip Concrete (Medium),Andy's Frozen Custard,5.54
Mint Chip Concrete (Large),Andy's Frozen Custard,6.44
The Jackhammer (Small),Andy's Frozen Custard,4.79
The Jackhammer (Medium),Andy's Frozen Custard,5.69
The Jackhammer (Large),Andy's Frozen Custard,6.59
James Brownie Funky Jackhammer (Small),Andy's Frozen Custard,5.54
James Brownie Funky Jackhammer (Medium),Andy's Frozen Custard,6.44
James Brownie Funky Jackhammer (Large),Andy's Frozen Custard,7.34
Malts (Small),Andy's Frozen Custard,3.89
Malts (Large),Andy's Frozen Custard,4.79
Shakes (Small),Andy's Frozen Custard,3.89
Shakes (Large),Andy's Frozen Custard,4.79
Old-Fashioned Freezes (Small),Andy's Frozen Custard,3.89
Old-Fashioned Freezes (Large),Andy's Frozen Custard,4.79
Old-Fashioned Sodas (Small),Andy's Frozen Custard,3.49
Old-Fashioned Sodas (Large),Andy's Frozen Custard,4.19
Floats (Small),Andy's Frozen Custard,3.49
Floats (Large),Andy's Frozen Custard,4.19
Zarlengo’s Italian Ice,Andy's Frozen Custard,2.39
Andry’s Frozen Custard Bar (Small),Andy's Frozen Custard,2.99
Andry’s Frozen Custard Bar (4 Pack),Andy's Frozen Custard,9.99
Andy’s Custom Sundae (Regular),Andy's Frozen Custard,3.64
Andy’s Custom Sundae (Large),Andy's Frozen Custard,4.74
The Original Straw-Ana (Regular),Andy's Frozen Custard,4.39
The Original Straw-Ana (Large),Andy's Frozen Custard,5.49
Andy’s Ozark Turtle (Regular),Andy's Frozen Custard,5.34
Andy’s Ozark Turtle (Large),Andy's Frozen Custard,6.44
Andy’s Hot Fudge Sundae with Pecans (Regular),Andy's Frozen Custard,4.59
Andy’s Hot Fudge Sundae with Pecans (Large),Andy's Frozen Custard,5.69
Stolen Brownie Sundae (Regular),Andy's Frozen Custard,5.34
Andy’s Kids’ Sundae,Andy's Frozen Custard,2.89
Kids’ Sprinkles Sundae,Andy's Frozen Custard,2.89
Andy’s Banana Split,Andy's Frozen Custard,5.79
Turtle Split,Andy's Frozen Custard,5.79
Vanilla or Chocolate Frozen Custard (Small),Andy's Frozen Custard,1.94
Vanilla or Chocolate Frozen Custard (Medium),Andy's Frozen Custard,2.59
Vanilla or Chocolate Frozen Custard (Large),Andy's Frozen Custard,3.24
Vanilla or Chocolate Frozen Custard (Jumbo),Andy's Frozen Custard,3.89
Vanilla or Chocolate (Pint),Andy's Frozen Custard,3.69
Vanilla or Chocolate (Quart),Andy's Frozen Custard,5.69
Vanilla or Chocolate (1/2 Gallon),Andy's Frozen Custard,9.69
"Specialty Flavors (Hot Fudge Brownie, Mint Chocolate Chip, Chocolate Chocolate Chip Cookie Dough, Butter Pecan, and Bordeaux Cherry Chip) – Pint",Andy's Frozen Custard,4.44
Sprecher Soda on Tap (Small),Andy's Frozen Custard,1.54
Sprecher Soda on Tap (Medium),Andy's Frozen Custard,1.99
Sprecher Soda on Tap (Large),Andy's Frozen Custard,2.39
Bottled Fitz’s Soda (Bottle),Andy's Frozen Custard,1.99
Bottled Fitz’s Soda (4 Pack),Andy's Frozen Custard,6.99
Soft Drinks (Small),Andy's Frozen Custard,1.29
Soft Drinks (Medium),Andy's Frozen Custard,1.49
Soft Drinks (Large),Andy's Frozen Custard,1.69
Fresh Brewed Iced Tea,Andy's Frozen Custard,1.69
Bottled Water,Andy's Frozen Custard,1.69
German Chocolate Concrete (Small),Andy's Frozen Custard,4.84
German Chocolate Concrete (Medium),Andy's Frozen Custard,5.74
German Chocolate Concrete (Large),Andy's Frozen Custard,6.64
Almond Delight Concrete (Small),Andy's Frozen Custard,4.84
Almond Delight Concrete (Medium),Andy's Frozen Custard,5.74
Almond Delight Concrete (Large),Andy's Frozen Custard,6.64
Ooey Gooey Concrete (Small),Andy's Frozen Custard,4.84
Ooey Gooey Concrete (Medium),Andy's Frozen Custard,5.74
Ooey Gooey Concrete (Large),Andy's Frozen Custard,6.64
"
Brew Pub Pretzels & Beer Cheese Dip
",Applebee's,7.29
"
Spinach & Artichoke Dip
",Applebee's,7.99
"
Mozzarella Sticks
",Applebee's,8.29
"
Double Crunch Bone-In Wings
",Applebee's,10.59
"
Boneless Wings
",Applebee's,10.49
"
Chicken Quesadilla
",Applebee's,7.99
"
The Classic Combo
",Applebee's,14.49
"
Chips & Salsa
",Applebee's,2.99
"
Grilled Shrimp Avocado & Grapefruit Salad
",Applebee's,10.99
"
Grilled Chicken Avocado & Grapefruit Salad
",Applebee's,9.99
"
Crispy Chicken & Cornbread salad
",Applebee's,10.99
"
Grilled Chicken & Corn Bread Salad
",Applebee's,9.99
"
8oz Top Sirloin
",Applebee's,14.99
"
6oz Top Sirloin
",Applebee's,11.99
"
Cedar-Grilled Salmon
",Applebee's,13.59
"
Grilled Chicken Breast
",Applebee's,9.99
"
Double-Glazed Baby-Back Ribs
",Applebee's,17.99
"
Half Rack Double-Glazed Baby-Back Ribs
",Applebee's,12.99
"
Shrimp ‘N Parmesan Sirloin
",Applebee's,17.99
"
Bourbon Street Steak
",Applebee's,15.29
"
Bourbon Street Chicken & Shrimp
",Applebee's,12.99
"
Fiesta Lime Chicken
",Applebee's,11.99
"
Chicken Tenders Platter
",Applebee's,10.79
"
Chicken Tenders Basket
",Applebee's,9.29
"
Grilled Chicken Breast
",Applebee's,9.99
"
Shrimp Wonton Stir-Fry
",Applebee's,11.49
"
Oriental Chicken Salad
",Applebee's,10.49
"
Oriental Grilled Chicken Salad
",Applebee's,10.49
"
Grilled Chicken Caesar Salad
",Applebee's,10.29
"
4-Cheese Mac & Cheese with Honey Pepper Chicken Tenders
",Applebee's,12.49
"
3-Cheese Chicken Cavatappi
",Applebee's,11.99
"
Double Crunch Shrimp
",Applebee's,12.89
"
Shrimp Wonton Stir-Fry
",Applebee's,11.49
"
Hand-Battered Fish & Chips
",Applebee's,12.29
Cedar Grilled Salmon,Applebee's,13.59
"
Clubhouse Grille
",Applebee's,10.49
"
Chicken Fajita Rollup
",Applebee's,9.29
"
All-Day Brunch Burger
",Applebee's,10.99
"
Classic Burger
",Applebee's,8.99
"
Quesadilla Burger
",Applebee's,10.49
"
Brownie Bites
",Applebee's,1.00
"
Blue Ribbon Brownie
",Applebee's,5.49
"
Triple Chocolate Meltdown
",Applebee's,5.79
"
Hot Fudge Sundae Dessert Shooter
",Applebee's,2.49
"
Side Green Goddess Wedge Salad
",Applebee's,5.49
"
Tomato Basil Soup
",Applebee's,3.69
"
Side Chicken Tortilla Soup
",Applebee's,3.69
"
Side House Salad
",Applebee's,3.69
"
Side Caesar Salad
",Applebee's,3.69
"
Side Crispy Cheddar Bacon Potatoes
",Applebee's,1.99
"
Side 4 Cheese Mac & Cheese
",Applebee's,2.99
"
Side Fire-Grilled Veggies
",Applebee's,2.99
"
Side Garlicky Green Beans
",Applebee's,1.99
"
Side Garlic Mashed Potatoes
",Applebee's,1.99
"
Kid One Cheeseburger
",Applebee's,4.99
"
Kid Cheesy Bread Pizza
",Applebee's,5.99
"
Kid Grilled Cheese
",Applebee's,4.99
"
Kid Chicken Tenders
",Applebee's,4.99
"
Kid Corn Dog
",Applebee's,4.99
"
Kid Fried Shrimp
",Applebee's,5.99
"
Kid Macaroni & Cheese
",Applebee's,4.99
"
Flavored Iced Teas (Mango, Pomegranate, & Kiwi)
",Applebee's,2.89
"
Flavored Lemonades (Mango, Raspberry, Strawberry, Regular, Kiwi, & Pomegranate)
",Applebee's,2.79
"
Fountain Drinks
",Applebee's,1.99
"
Decadent Shakes (Oreo Cookie, Chocolate, Strawberry) Full Size
",Applebee's,3.29
"
Decadent Shakes (Salted Caramel, Chocolate Nut Brownie, Oreo, Chocolate, Strawberry, & Vanilla) Shorty
",Applebee's,2.99
"
Brewed Iced Tea
",Applebee's,2.79
"
Sweet Tea
",Applebee's,2.79
"
Hot Tea 
",Applebee's,2.39
"
Fresh Brewed Coffee
",Applebee's,2.79
"
Decaf Coffee
",Applebee's,2.79
"
Gallon Iced Tea
",Applebee's,2.99
"
Gallon Sweet Tea
",Applebee's,2.99
"
Chicken Tenders (Appetizer)
",Applebee's,29.99
"
Boneless Wings
",Applebee's,25.99
"
Double Crunch Wings
",Applebee's,37.99
"
Crunchy Onion Rings
",Applebee's,14.99
"
Fiesta Lime Chicken
",Applebee's,49.99
"
4-Cheese Mac & Cheese with Honey Pepper Chicken Tenders
",Applebee's,49.99
"
Chicken Tenders (Entree)
",Applebee's,29.99
"
Oriental Chicken Salad
",Applebee's,39.99
"
Oriental Grilled Chicken Salad
",Applebee's,35.99
"
Grilled Chicken Caesar Salad
",Applebee's,35.99
"
Caesar Salad
",Applebee's,24.99
"
Clubhouse Grille
",Applebee's,49.99
"
Garlic Mashed Potatoes Per Person
",Applebee's,1.49
"
Cole Slaw Per Person
",Applebee's,1.49
3PC Hushpuppy Breaded Fish Strips Meal,Arby's,8.89
Classic Roast Beef Meal,Arby's,8.99
Classic Beef 'n Cheddar Meal,Arby's,9.79
Greek Gyro Meal,Arby's,10.29
Roast Beef Gyro Meal,Arby's,10.29
Chicken Tenders 3PC Meal,Arby's,10.29
Premium 9PC Chicken Nuggets Meal,Arby's,10.49
Classic Crispy Chicken Sandwich Meal,Arby's,10.49
Double Roast Beef Meal,Arby's,10.59
Buffalo Crispy Chicken Sandwich Meal,Arby's,10.79
Classic French Dip & Swiss Meal,Arby's,10.79
5PC Hushpuppy Breaded Fish Strips Meal,Arby's,10.99
Double Beef 'n Cheddar Meal,Arby's,11.39
Crispy Buffalo Chicken Wrap Meal,Arby's,11.49
Half Pound Roast Beef Meal,Arby's,11.49
Deluxe Wagyu Steakhouse Burger Meal,Arby's,11.69
Chicken Bacon Swiss Sandwich Meal,Arby's,11.69
Crispy Chicken Club Wrap Meal,Arby's,11.89
Corned Beef Reuben Meal,Arby's,11.99
Chicken Tenders 5PC Meal,Arby's,12.19
Smokehouse Brisket Meal,Arby's,12.29
Roast Turkey Ranch & Bacon Sandwich Meal,Arby's,12.49
Half Pound Beef 'n Cheddar Meal,Arby's,12.49
Bacon Ranch Wagyu Steakhouse Burger Meal,Arby's,12.69
5PC Hushpuppy Breaded Fish Strips Meal,Arby's,10.99
Deluxe Wagyu Steakhouse Burger Meal,Arby's,11.69
Bacon Ranch Wagyu Steakhouse Burger Meal,Arby's,12.69
Orange Cream Shake,Arby's,3.59
3PC Hushpuppy Breaded Fish Strips ,Arby's,4.69
5PC Hushpuppy Breaded Fish Strips ,Arby's,6.79
2 for 7 Everyday Value,Arby's,7.00
Deluxe Wagyu Steakhouse Burger,Arby's,7.49
Bacon Ranch Wagyu Steakhouse Burger,Arby's,8.49
3PC Hushpuppy Breaded Fish Strips Meal,Arby's,8.89
Chicken Tenders 3PC,Arby's,5.79
Premium 9PC Chicken Nuggets,Arby's,5.99
Classic Crispy Chicken Sandwich,Arby's,5.99
Buffalo Crispy Chicken Sandwich ,Arby's,6.29
Chicken Bacon Swiss Sandwich,Arby's,7.19
Chicken Tenders 5PC,Arby's,7.69
Classic Roast Beef,Arby's,4.59
Classic Beef 'n Cheddar,Arby's,5.39
Double Roast Beef,Arby's,6.29
Classic French Dip & Swiss,Arby's,6.29
Double Beef 'n Cheddar,Arby's,6.89
Half Pound Roast Beef,Arby's,7.19
Smokehouse Brisket,Arby's,7.79
Half Pound Beef 'n Cheddar,Arby's,8.19
Buffalo Chicken Slider,Arby's,1.99
Chicken Slider,Arby's,1.99
Jalapeño Roast Beef Slider,Arby's,1.99
Roast Beef Slider,Arby's,1.99
Curly Fries,Arby's,2.59
Crinkle Fries,Arby's,2.59
Premium 4PC Chicken Nuggets,Arby's,2.99
Premium 6PC Chicken Nuggets,Arby's,3.99
Mozzarella Sticks ,Arby's,4.19
Jalapeño Bites®,Arby's,4.19
REESE’S Peanut Butter Cup Cookie,Arby's,2.29
Salted Caramel & Chocolate Cookie,Arby's,2.29
Apple Turnover,Arby's,2.29
Cherry Turnover,Arby's,2.29
Orange Cream Shake,Arby's,3.59
Chocolate Shake,Arby's,3.59
Jamocha Shake,Arby's,3.59
Vanilla Shake,Arby's,3.59
Coca-Cola®,Arby's,2.49
Diet Coke®,Arby's,2.49
Coca-Cola® Zero Sugar,Arby's,2.49
Sprite®,Arby's,2.49
Dr Pepper®,Arby's,2.49
Diet Dr Pepper®,Arby's,2.49
Barq's Root Beer®,Arby's,2.49
Minute Maid® Zero Sugar,Arby's,2.49
Hi-C Flashin' Fruit Punch®,Arby's,2.49
Mello Yello®,Arby's,2.49
Powerade®,Arby's,2.49
Unsweet Tea,Arby's,2.49
Fanta® Orange,Arby's,2.49
Bottled Water,Arby's,2.49
Market Fresh™ Classic Lemonade,Arby's,2.89
Market Fresh™ Strawberry Lemonade,Arby's,2.89
Market Fresh™ Peach Lemonade,Arby's,2.89
Premium 4PC Chicken Nuggets Kids Meal,Arby's,5.29
Honest Kids Organic Apple Juice Drink ,Arby's,1.99
Shamrock Farms Low Fat Milk,Arby's,1.99
Shamrock Farms LowFat Chocolate Milk,Arby's,1.99
Tree Top Applesauce,Arby's,1.99
Chicken Slider Kids Meal,Arby's,5.29
Roast Beef Slider Kids Meal,Arby's,5.29
Premium 6PC Chicken Nuggets Kids Meal,Arby's,6.29
Adults (Per Person),Aria Buffet,24.99
Children 5-12 years (Per Child),Aria Buffet,12.50
Children 4 and under,Aria Buffet,Free
Adults Mon – Fri (Per Person) ,Aria Buffet,28.99
Children 5-12 years old Mon – Fri (Per Child),Aria Buffet,14.50
Children under 4 years old Mon – Fri (Per Child),Aria Buffet,Free
Adults Sat & Sun (Per Person) ,Aria Buffet,33.99
Children 5-12 years old Sat & Sun (Per Child),Aria Buffet,16.50
Children under 4 years old Sat & Sun (Per Child),Aria Buffet,Free
Adults (Per Person) ,Aria Buffet,38.99
Children 5 – 12 years old (Per Child),Aria Buffet,Free
Children under 4 years old (Per Child),Aria Buffet,Free
Adults (Per Person) ,Aria Buffet,43.99
Children 5 – 12 years old (Per Child),Aria Buffet,Free
Children under 4 years old (Per Child),Aria Buffet,Free
Adults (per person),Aria Buffet,60.00
Fried Wonton,Asian Buffet,2.50
Fried or Boiled Dumplings,Asian Buffet,3.85
Fried Baby Shrimp,Asian Buffet,3.50
Fried Chicken Wings,Asian Buffet,2.50
Egg Roll,Asian Buffet,2.50
Beef Teriyaki or Chicken,Asian Buffet,4.25
Fried Crab Rangoon,Asian Buffet,3.00
Hot and Sour Soup,Asian Buffet,2.75
Wonton Soup,Asian Buffet,2.25
Seafood Delight Soup,Asian Buffet,4.25
House Special Soup,Asian Buffet,3.95
Egg Drop Soup,Asian Buffet,2.25
Wonton Egg Drop Soup,Asian Buffet,2.75
Chicken Rice or Noodle Soup,Asian Buffet,2.25
Vegetable and Bean Curd Soup,Asian Buffet,2.95
Express Lunch Buffet To Go,Asian Buffet,5.00
Vegetable Fried Rice,Asian Buffet,5.50
Beef Fried Rice,Asian Buffet,5.90
Shrimp Fried Rice,Asian Buffet,6.25
Chicken Fried Rice,Asian Buffet,5.90
Pork Fried Rice,Asian Buffet,5.90
House Special Fried Rice,Asian Buffet,6.95
Vegetable Lo Mein,Asian Buffet,6.00
Beef Lo Mein,Asian Buffet,6.50
Shrimp Lo Mein,Asian Buffet,6.50
Chicken Lo Mein,Asian Buffet,6.50
Pork Lo Mein,Asian Buffet,6.50
House Special Lo Mein,Asian Buffet,6.95
Sweet and Sour Chicken or Pork,Asian Buffet,6.50
Sum Bo,Asian Buffet,7.50
Sweet and Sour Shrimp,Asian Buffet,6.95
Vegetable Mei Fun,Asian Buffet,5.00
